RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30
395234,603,"Winona, MN",msa,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183933.0,179556.0,182382.0,199439.0,206237.0,221055.0,223531.0,218333.0,214622.0,215724.0,231010.0,247831.0,251827.0,247765.0,236603.0,235019.0,227989.0,220643.0,220185.0
753905,604,"Newport, OR",msa,OR,304937.0,280354.0,292868.0,296750.0,311128.0,315705.0,308183.0,308194.0,300084.0,298566.0,292050.0,299856.0,306683.0,319163.0,320542.0,317515.0,317914.0,310364.0,327480.0,318432.0,325691.0,314737.0,316573.0,318544.0,331568.0,352037.0,354994.0,360101.0,365373.0,387669.0,387375.0,394159.0,388720.0,399025.0,420962.0,441200.0,449807.0,437243.0,444592.0,442707.0,454295.0,451795.0,444815.0,448417.0,449004.0,471836.0,472921.0,489246.0,488138.0,476869.0,478651.0,498271.0,480595.0,462579.0,428043.0,460037.0,473648.0,487769.0,480400.0,473538.0,465714.0,472966.0,453523.0,454171.0,432753.0,453054.0,454753.0,466069.0,472547.0,494663.0,493658.0,495148.0,476208.0,473634.0
395091,606,"Shelbyville, TN",msa,TN,151832.0,164137.0,167873.0,164779.0,152912.0,152687.0,159534.0,162717.0,162107.0,160489.0,166559.0,169480.0,174243.0,169695.0,174749.0,171157.0,177779.0,176145.0,174585.0,170523.0,168535.0,177120.0,177931.0,185160.0,182022.0,184815.0,185391.0,201633.0,208168.0,221726.0,223110.0,227892.0,220769.0,221248.0,223512.0,227201.0,238316.0,250757.0,254786.0,247055.0,244249.0,247929.0,248096.0,260238.0,261134.0,284776.0,286932.0,282898.0,267561.0,259002.0,262603.0,266485.0,267240.0,259958.0,267939.0,262494.0,277009.0,275774.0,288790.0,291047.0,292383.0,289322.0,280364.0,282547.0,292607.0,295621.0,274462.0,269447.0,283860.0,299431.0,299485.0,297672.0,298260.0,294607.0
394326,607,"Amsterdam, NY",msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149753.0,166408.0,178605.0,181271.0,180461.0,180984.0
753911,608,"Ozark, AL",msa,AL,92781.0,93627.0,98275.0,98627.0,93876.0,93129.0,103727.0,105316.0,104286.0,96362.0,101080.0,106983.0,112723.0,114086.0,109610.0,113740.0,103821.0,103920.0,99339.0,107567.0,116926.0,120175.0,119512.0,125008.0,112810.0,119814.0,115235.0,129686.0,127668.0,131647.0,126600.0,118648.0,112281.0,116877.0,127792.0,133911.0,137933.0,139287.0,138188.0,138360.0,141915.0,143921.0,142006.0,141114.0,138815.0,135674.0,136548.0,141219.0,142665.0,147795.0,141393.0,139566.0,139152.0,142924.0,148220.0,142183.0,145462.0,140081.0,141807.0,145283.0,149738.0,155616.0,150914.0,156416.0,150510.0,156915.0,154214.0,154161.0,147303.0,145267.0,150952.0,156716.0,157549.0,151987.0
394628,610,"Gardnerville Ranchos, NV",msa,NV,409550.0,408572.0,402755.0,407720.0,415608.0,444743.0,439267.0,430612.0,407686.0,399321.0,415934.0,424423.0,434926.0,433139.0,425395.0,444323.0,449560.0,477489.0,462127.0,474613.0,449794.0,442739.0,427793.0,461749.0,478539.0,511010.0,515361.0,531620.0,542204.0,572743.0,595615.0,591555.0,560455.0,556033.0,557735.0,571458.0,581548.0,583776.0,591430.0,609675.0,630959.0,641763.0,651493.0,660614.0,685874.0,668545.0,661581.0,647782.0,647774.0,658095.0,639191.0,617848.0,567318.0,551217.0,585817.0,623065.0,633886.0,592707.0,605200.0,644747.0,713945.0,715118.0,701341.0,672799.0,694000.0,725662.0,744338.0,726861.0,714533.0,716351.0,729078.0,697641.0,691587.0,677807.0
394437,612,"Ca-¦on City, CO",msa,CO,202947.0,199773.0,198581.0,189647.0,186874.0,187872.0,184411.0,199964.0,198618.0,203570.0,205822.0,211986.0,218095.0,210248.0,216179.0,221196.0,230651.0,229927.0,225516.0,228474.0,226321.0,223196.0,223148.0,226807.0,236579.0,241046.0,248423.0,248608.0,251012.0,258339.0,274982.0,279761.0,282332.0,281009.0,284232.0,288738.0,295587.0,314858.0,325854.0,339398.0,336598.0,330170.0,310165.0,312114.0,326902.0,333420.0,322805.0,315523.0,324579.0,336514.0,336672.0,318661.0,312245.0,310414.0,336219.0,342339.0,352155.0,346112.0,343951.0,338516.0,334549.0,322492.0,316620.0,331692.0,347552.0,353343.0,334483.0,327531.0,315428.0,316732.0,326436.0,333007.0,324828.0,314115.0
394906,614,"New Castle, IN",msa,IN,92150.0,95400.0,99037.0,94711.0,97908.0,93493.0,95399.0,99370.0,102167.0,98825.0,98403.0,97726.0,106353.0,100149.0,105298.0,104894.0,101535.0,97445.0,94060.0,97223.0,96198.0,98837.0,100454.0,112309.0,110907.0,114703.0,109665.0,107915.0,111164.0,109866.0,117069.0,112630.0,110387.0,113626.0,124168.0,137715.0,133423.0,138921.0,137221.0,139151.0,130823.0,137141.0,134659.0,142971.0,143389.0,143588.0,132192.0,133012.0,142635.0,150297.0,137658.0,130983.0,130344.0,140995.0,143006.0,142232.0,150736.0,155040.0,150216.0,138997.0,139351.0,149068.0,153204.0,156032.0,142958.0,149411.0,146778.0,161288.0,163084.0,164877.0,166048.0,156775.0,162102.0,160557.0
394478,615,"Clovis, NM",msa,NM,,,,,,,,,,,,,,,,,,,,,,,,,168165.0,172070.0,177636.0,175571.0,176977.0,183948.0,189418.0,199551.0,197150.0,194265.0,193271.0,191718.0,192254.0,195843.0,198305.0,203550.0,187045.0,193214.0,198639.0,210709.0,205413.0,200733.0,206026.0,210244.0,206695.0,194035.0,191182.0,198159.0,194079.0,179703.0,190607.0,201402.0,211772.0,197082.0,196574.0,206967.0,213507.0,217532.0,204628.0,199514.0,191415.0,199277.0,204965.0,210400.0,220949.0,221949.0,226921.0,216574.0,212649.0,212175.0
394919,616,"Norfolk, NE",msa,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192207.0,207249.0,200496.0,215722.0,215327.0,227376.0,214466.0,206988.0
